Tahun,Provinsi,sisa_makanan,kayu_ranting,kertas_karton,plastik,logam,kain,karet_kulit,kaca,lainnya
2022,Sumatera Selatan,60.3,5.6,10.28,17.2,4.55,0.55,0.15,0.42,0.95
2022,Sumatera Selatan,53.0,5.5,14.0,17.0,1.5,3.0,4.0,1.0,1.0
2022,Sumatera Selatan,50.56,9.8,6.02,26.6,1.84,1.8,0.6,1.8,0.98
2022,Bengkulu,31.6,37.5,7.4,6.3,5.1,0.8,2.9,2.5,5.9
2022,Bengkulu,59.0,7.0,9.0,9.0,10.0,1.0,1.0,1.0,3.0
2022,Bengkulu,64.45,8.57,8.56,12.86,0.2,0.89,1.6,0.07,2.8
2022,Lampung,41.0,1.0,2.0,24.0,1.0,19.0,8.0,3.0,1.0
2022,Lampung,31.0,24.37,13.22,21.0,0.44,0.65,0.14,1.72,7.36
2022,Lampung,61.0,19.0,4.0,8.0,4.0,1.0,2.0,1.0,0.0
2022,Lampung,50.0,15.0,5.0,20.0,1.0,0.25,0.25,0.25,8.25
2022,Lampung,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Lampung,40.4,12.9,11.7,17.4,3.1,2.5,1.8,2.3,7.9
2022,Lampung,56.47,6.24,9.4,24.07,0.56,1.25,0.27,0.88,0.86
2022,Kepulauan Bangka Belitung,39.85,13.96,12.07,16.97,3.37,2.69,1.98,2.31,6.8
2022,Kepulauan Bangka Belitung,1.0,28.0,2.0,63.0,0.01,1.0,2.54,2.4,0.05
2022,Kepulauan Bangka Belitung,41.9,8.5,3.8,14.3,3.9,4.9,0.0,5.5,17.2
2022,Kepulauan Bangka Belitung,57.0,0.0,5.0,17.0,2.0,2.0,2.0,1.0,14.0
2022,Kepulauan Riau,41.0,5.8,24.0,16.4,1.0,1.5,3.2,2.5,4.6
2022,Kepulauan Riau,23.0,19.0,24.0,24.5,4.0,2.5,1.5,1.2,0.3
2022,Kepulauan Riau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Kepulauan Riau,41.2,13.6,18.3,10.2,1.8,8.9,3.9,1.9,0.2
2022,Kepulauan Riau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Kepulauan Riau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Kepulauan Riau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,DKI Jakarta,25.5,31.59,12.17,19.18,1.27,0.74,0.44,2.03,7.08
2022,DKI Jakarta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,DKI Jakarta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,DKI Jakarta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,DKI Jakarta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,DKI Jakarta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Jawa Barat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Jawa Barat,59.3,0.0,6.3,20.5,1.0,2.6,0.0,3.4,6.9
2022,Jawa Barat,38.0,0.4,16.0,20.0,10.0,4.0,1.0,10.2,0.4
2022,Jawa Barat,40.0,17.0,10.0,16.0,4.0,3.0,2.0,2.0,6.0
2022,Jawa Barat,20.0,15.0,5.0,40.0,3.0,3.0,2.0,2.0,10.0
2022,Jawa Barat,27.0,6.4,25.0,35.8,1.0,1.8,0.8,0.7,1.5
2022,Jawa Barat,64.0,1.0,9.0,14.0,2.0,1.0,0.0,1.0,8.0
2022,Jawa Barat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Jawa Barat,40.0,14.0,20.0,15.0,1.0,2.5,0.5,1.0,6.0
2022,Jawa Barat,39.98,13.98,13.98,17.03,3.3,2.75,2.0,2.3,4.68
2022,Jawa Barat,44.52,3.98,13.12,16.7,0.9,4.75,2.38,1.97,11.68
2022,Jawa Barat,65.2,7.2,4.2,15.6,0.2,6.3,0.5,0.5,0.3
2022,Jawa Barat,0.0,50.6,8.6,15.6,3.1,5.3,0.0,3.0,13.8
2022,Jawa Barat,48.7,0.0,5.8,5.4,0.2,1.9,0.0,6.3,31.6
2022,Jawa Barat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Jawa Tengah,57.67,1.71,9.71,16.42,1.33,1.25,0.0,1.17,10.74
2022,Jawa Tengah,36.0,6.0,6.0,30.0,9.0,5.0,3.0,5.0,0.0
2022,Jawa Tengah,60.47,2.09,8.95,18.49,0.68,2.34,5.14,0.87,0.97
2022,Jawa Tengah,30.0,36.8,7.0,12.0,7.0,4.0,2.0,1.0,0.2
2022,Jawa Tengah,16.0,52.0,2.0,15.0,1.0,1.5,0.2,1.5,10.0
2022,Jawa Tengah,68.93,1.5,12.57,10.11,3.5,0.6,0.31,1.14,1.34
2022,Jawa Tengah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Jawa Tengah,67.42,3.82,10.46,15.05,0.1,0.42,0.08,0.65,2.0
2022,Jawa Tengah,60.8,1.88,9.81,17.03,1.98,2.28,1.82,1.27,3.13
2022,Jawa Tengah,25.0,10.0,20.0,25.0,5.0,5.0,2.5,5.0,2.5
